
                            < M A T L A B (R) >
                  Copyright 1984-2023 The MathWorks, Inc.
             R2023a Update 3 (9.14.0.2286388) 64-bit (glnxa64)
                                May 25, 2023

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
Iteration 10, max diff = 3.542e-02
Iteration 20, max diff = 1.286e-02
Iteration 30, max diff = 1.269e-02
Iteration 40, max diff = 1.171e-02
Iteration 50, max diff = 9.946e-03
Iteration 60, max diff = 7.591e-03
Iteration 70, max diff = 5.484e-03
Iteration 80, max diff = 3.515e-03
Iteration 90, max diff = 2.241e-03
Iteration 100, max diff = 1.372e-03
Iteration 110, max diff = 6.187e-04
Iteration 120, max diff = 4.079e-04
Iteration 130, max diff = 2.375e-04
Iteration 140, max diff = 1.391e-04
Iteration 150, max diff = 8.068e-05
Iteration 160, max diff = 4.715e-05
Iteration 170, max diff = 2.750e-05
Iteration 180, max diff = 1.604e-05
Iteration 190, max diff = 9.348e-06
Iteration 200, max diff = 5.531e-06
Iteration 210, max diff = 3.203e-06
Iteration 220, max diff = 1.861e-06
Iteration 230, max diff = 1.084e-06
Iteration 240, max diff = 6.396e-07
Iteration 250, max diff = 3.909e-07
Iteration 260, max diff = 2.116e-07
Iteration 270, max diff = 1.384e-07
Iteration 280, max diff = 6.312e-08
Iteration 290, max diff = 4.793e-08
Iteration 300, max diff = 3.260e-08
Iteration 310, max diff = 2.117e-08
Iteration 320, max diff = 1.567e-08
Iteration 330, max diff = 1.139e-08
Converged at iteration 335
