
                            < M A T L A B (R) >
                  Copyright 1984-2023 The MathWorks, Inc.
             R2023a Update 3 (9.14.0.2286388) 64-bit (glnxa64)
                                May 25, 2023

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
Iteration 10, max diff = 2.453e-02
Iteration 20, max diff = 3.761e-02
Iteration 30, max diff = 1.723e-02
Iteration 40, max diff = 7.026e-03
Iteration 50, max diff = 2.716e-03
Iteration 60, max diff = 1.476e-02
Iteration 70, max diff = 5.989e-03
Iteration 80, max diff = 4.212e-03
Iteration 90, max diff = 4.895e-03
Iteration 100, max diff = 1.378e-02
Iteration 110, max diff = 5.967e-03
Iteration 120, max diff = 1.474e-02
Iteration 130, max diff = 4.511e-03
Iteration 140, max diff = 4.867e-03
Iteration 150, max diff = 3.956e-03
Iteration 160, max diff = 6.075e-03
Iteration 170, max diff = 1.476e-02
Iteration 180, max diff = 5.948e-03
Iteration 190, max diff = 4.871e-03
Iteration 200, max diff = 3.987e-03
Iteration 210, max diff = 6.569e-03
Iteration 220, max diff = 1.480e-02
Iteration 230, max diff = 5.972e-03
Iteration 240, max diff = 5.048e-03
Iteration 250, max diff = 4.029e-03
Iteration 260, max diff = 4.892e-03
Iteration 270, max diff = 1.478e-02
Iteration 280, max diff = 5.978e-03
Iteration 290, max diff = 5.683e-03
Iteration 300, max diff = 4.075e-03
Iteration 310, max diff = 4.894e-03
Iteration 320, max diff = 1.453e-02
Iteration 330, max diff = 5.972e-03
Iteration 340, max diff = 1.474e-02
Iteration 350, max diff = 4.168e-03
Iteration 360, max diff = 4.888e-03
Iteration 370, max diff = 1.378e-02
Iteration 380, max diff = 5.967e-03
Iteration 390, max diff = 1.474e-02
Iteration 400, max diff = 4.511e-03
Iteration 410, max diff = 4.867e-03
Iteration 420, max diff = 3.956e-03
Iteration 430, max diff = 6.075e-03
Iteration 440, max diff = 1.476e-02
Iteration 450, max diff = 5.948e-03
Iteration 460, max diff = 4.871e-03
Iteration 470, max diff = 3.987e-03
Iteration 480, max diff = 6.569e-03
Iteration 490, max diff = 1.480e-02
Iteration 500, max diff = 5.972e-03
