
                            < M A T L A B (R) >
                  Copyright 1984-2023 The MathWorks, Inc.
             R2023a Update 3 (9.14.0.2286388) 64-bit (glnxa64)
                                May 25, 2023

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
Iteration 10, max diff = 2.600e-02
Iteration 20, max diff = 1.048e-02
Iteration 30, max diff = 1.069e-02
Iteration 40, max diff = 1.001e-02
Iteration 50, max diff = 8.764e-03
Iteration 60, max diff = 7.112e-03
Iteration 70, max diff = 5.449e-03
Iteration 80, max diff = 3.816e-03
Iteration 90, max diff = 2.639e-03
Iteration 100, max diff = 1.773e-03
Iteration 110, max diff = 1.160e-03
Iteration 120, max diff = 7.472e-04
Iteration 130, max diff = 4.789e-04
Iteration 140, max diff = 3.045e-04
Iteration 150, max diff = 1.927e-04
Iteration 160, max diff = 1.217e-04
Iteration 170, max diff = 7.669e-05
Iteration 180, max diff = 4.828e-05
Iteration 190, max diff = 3.038e-05
Iteration 200, max diff = 1.907e-05
Iteration 210, max diff = 1.200e-05
Iteration 220, max diff = 7.527e-06
Iteration 230, max diff = 4.736e-06
Iteration 240, max diff = 2.966e-06
Iteration 250, max diff = 1.873e-06
Iteration 260, max diff = 1.188e-06
Iteration 270, max diff = 7.150e-07
Iteration 280, max diff = 4.636e-07
Iteration 290, max diff = 2.820e-07
Iteration 300, max diff = 1.962e-07
Iteration 310, max diff = 1.212e-07
Iteration 320, max diff = 6.322e-08
Iteration 330, max diff = 5.292e-08
Iteration 340, max diff = 1.616e-08
Converged at iteration 345
