
                            < M A T L A B (R) >
                  Copyright 1984-2023 The MathWorks, Inc.
             R2023a Update 3 (9.14.0.2286388) 64-bit (glnxa64)
                                May 25, 2023

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
Iteration 10, max diff = 8.803e-02
Iteration 20, max diff = 5.455e-02
Iteration 30, max diff = 2.860e-02
Iteration 40, max diff = 1.199e-02
Iteration 50, max diff = 5.031e-03
Iteration 60, max diff = 1.862e-03
Iteration 70, max diff = 6.276e-04
Iteration 80, max diff = 1.874e-03
Iteration 90, max diff = 1.156e-03
Iteration 100, max diff = 5.880e-03
Iteration 110, max diff = 3.378e-03
Iteration 120, max diff = 5.042e-04
Iteration 130, max diff = 2.437e-02
Iteration 140, max diff = 1.428e-03
Iteration 150, max diff = 3.255e-03
Iteration 160, max diff = 3.893e-03
Iteration 170, max diff = 6.159e-04
Iteration 180, max diff = 2.422e-03
Iteration 190, max diff = 1.742e-03
Iteration 200, max diff = 2.569e-02
Iteration 210, max diff = 5.234e-03
Iteration 220, max diff = 7.582e-04
Iteration 230, max diff = 2.714e-03
Iteration 240, max diff = 2.106e-03
Iteration 250, max diff = 9.174e-04
Iteration 260, max diff = 6.719e-03
Iteration 270, max diff = 9.362e-04
Iteration 280, max diff = 3.410e-03
Iteration 290, max diff = 2.515e-03
Iteration 300, max diff = 3.578e-04
Iteration 310, max diff = 1.840e-03
Iteration 320, max diff = 1.155e-03
Iteration 330, max diff = 4.595e-03
Iteration 340, max diff = 2.953e-03
Iteration 350, max diff = 4.230e-04
Iteration 360, max diff = 2.435e-02
Iteration 370, max diff = 1.420e-03
Iteration 380, max diff = 5.880e-03
Iteration 390, max diff = 3.387e-03
Iteration 400, max diff = 5.097e-04
Iteration 410, max diff = 2.382e-03
Iteration 420, max diff = 1.733e-03
Iteration 430, max diff = 3.243e-03
Iteration 440, max diff = 3.902e-03
Iteration 450, max diff = 6.221e-04
Iteration 460, max diff = 2.706e-03
Iteration 470, max diff = 2.096e-03
Iteration 480, max diff = 2.570e-02
Iteration 490, max diff = 5.242e-03
Iteration 500, max diff = 7.650e-04
