
                            < M A T L A B (R) >
                  Copyright 1984-2023 The MathWorks, Inc.
             R2023a Update 3 (9.14.0.2286388) 64-bit (glnxa64)
                                May 25, 2023

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
Iteration 10, max diff = 8.976e-02
Iteration 20, max diff = 1.956e-02
Iteration 30, max diff = 2.505e-03
Iteration 40, max diff = 8.189e-04
Iteration 50, max diff = 2.854e-04
Iteration 60, max diff = 9.354e-04
Iteration 70, max diff = 8.167e-04
Iteration 80, max diff = 3.158e-04
Iteration 90, max diff = 9.354e-04
Iteration 100, max diff = 8.166e-04
Iteration 110, max diff = 3.159e-04
Iteration 120, max diff = 9.354e-04
Iteration 130, max diff = 8.166e-04
Iteration 140, max diff = 3.159e-04
Iteration 150, max diff = 9.354e-04
Iteration 160, max diff = 8.166e-04
Iteration 170, max diff = 3.159e-04
Iteration 180, max diff = 9.354e-04
Iteration 190, max diff = 8.166e-04
Iteration 200, max diff = 3.159e-04
Iteration 210, max diff = 9.354e-04
Iteration 220, max diff = 8.166e-04
Iteration 230, max diff = 3.159e-04
Iteration 240, max diff = 9.354e-04
Iteration 250, max diff = 8.166e-04
Iteration 260, max diff = 3.159e-04
Iteration 270, max diff = 9.354e-04
Iteration 280, max diff = 8.166e-04
Iteration 290, max diff = 3.159e-04
Iteration 300, max diff = 9.354e-04
Iteration 310, max diff = 8.166e-04
Iteration 320, max diff = 3.159e-04
Iteration 330, max diff = 9.354e-04
Iteration 340, max diff = 8.166e-04
Iteration 350, max diff = 3.159e-04
Iteration 360, max diff = 9.354e-04
Iteration 370, max diff = 8.166e-04
Iteration 380, max diff = 3.159e-04
Iteration 390, max diff = 9.354e-04
Iteration 400, max diff = 8.166e-04
Iteration 410, max diff = 3.159e-04
Iteration 420, max diff = 9.354e-04
Iteration 430, max diff = 8.166e-04
Iteration 440, max diff = 3.159e-04
Iteration 450, max diff = 9.354e-04
Iteration 460, max diff = 8.166e-04
Iteration 470, max diff = 3.159e-04
Iteration 480, max diff = 9.354e-04
Iteration 490, max diff = 8.166e-04
Iteration 500, max diff = 3.159e-04
