
                            < M A T L A B (R) >
                  Copyright 1984-2023 The MathWorks, Inc.
             R2023a Update 3 (9.14.0.2286388) 64-bit (glnxa64)
                                May 25, 2023

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
Iteration 10, max diff = 2.970e-02
Iteration 20, max diff = 8.244e-03
Iteration 30, max diff = 8.304e-03
Iteration 40, max diff = 7.857e-03
Iteration 50, max diff = 7.097e-03
Iteration 60, max diff = 6.208e-03
Iteration 70, max diff = 5.086e-03
Iteration 80, max diff = 4.090e-03
Iteration 90, max diff = 3.050e-03
Iteration 100, max diff = 2.254e-03
Iteration 110, max diff = 1.660e-03
Iteration 120, max diff = 1.194e-03
Iteration 130, max diff = 8.481e-04
Iteration 140, max diff = 5.966e-04
Iteration 150, max diff = 4.169e-04
Iteration 160, max diff = 2.908e-04
Iteration 170, max diff = 2.026e-04
Iteration 180, max diff = 1.408e-04
Iteration 190, max diff = 9.767e-05
Iteration 200, max diff = 6.772e-05
Iteration 210, max diff = 4.689e-05
Iteration 220, max diff = 3.246e-05
Iteration 230, max diff = 2.246e-05
Iteration 240, max diff = 1.552e-05
Iteration 250, max diff = 1.075e-05
Iteration 260, max diff = 7.435e-06
Iteration 270, max diff = 5.138e-06
Iteration 280, max diff = 3.548e-06
Iteration 290, max diff = 2.463e-06
Iteration 300, max diff = 1.706e-06
Iteration 310, max diff = 1.174e-06
Iteration 320, max diff = 8.156e-07
Iteration 330, max diff = 5.742e-07
Iteration 340, max diff = 3.887e-07
Iteration 350, max diff = 2.835e-07
Iteration 360, max diff = 1.707e-07
Iteration 370, max diff = 1.264e-07
Iteration 380, max diff = 9.831e-08
Iteration 390, max diff = 7.737e-08
Iteration 400, max diff = 6.011e-08
Iteration 410, max diff = 3.309e-08
Iteration 420, max diff = 1.860e-08
Converged at iteration 421
