
                            < M A T L A B (R) >
                  Copyright 1984-2023 The MathWorks, Inc.
             R2023a Update 3 (9.14.0.2286388) 64-bit (glnxa64)
                                May 25, 2023

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
Iteration 10, max diff = 1.174e-01
Iteration 20, max diff = 6.507e-02
Iteration 30, max diff = 2.963e-02
Iteration 40, max diff = 2.614e-02
Iteration 50, max diff = 1.856e-02
Iteration 60, max diff = 1.027e-02
Iteration 70, max diff = 5.181e-03
Iteration 80, max diff = 2.999e-03
Iteration 90, max diff = 1.655e-03
Iteration 100, max diff = 8.796e-04
Iteration 110, max diff = 4.594e-04
Iteration 120, max diff = 2.139e-04
Iteration 130, max diff = 3.174e-04
Iteration 140, max diff = 3.221e-04
Iteration 150, max diff = 1.134e-04
Iteration 160, max diff = 3.208e-04
Iteration 170, max diff = 1.214e-04
Iteration 180, max diff = 3.219e-04
Iteration 190, max diff = 1.211e-04
Iteration 200, max diff = 3.208e-04
Iteration 210, max diff = 1.205e-04
Iteration 220, max diff = 3.219e-04
Iteration 230, max diff = 1.213e-04
Iteration 240, max diff = 3.208e-04
Iteration 250, max diff = 1.205e-04
Iteration 260, max diff = 3.219e-04
Iteration 270, max diff = 1.213e-04
Iteration 280, max diff = 3.208e-04
Iteration 290, max diff = 1.205e-04
Iteration 300, max diff = 3.219e-04
Iteration 310, max diff = 1.213e-04
Iteration 320, max diff = 3.208e-04
Iteration 330, max diff = 1.205e-04
Iteration 340, max diff = 3.219e-04
Iteration 350, max diff = 1.213e-04
Iteration 360, max diff = 3.208e-04
Iteration 370, max diff = 1.205e-04
Iteration 380, max diff = 3.219e-04
Iteration 390, max diff = 1.213e-04
Iteration 400, max diff = 3.208e-04
Iteration 410, max diff = 1.205e-04
Iteration 420, max diff = 3.219e-04
Iteration 430, max diff = 1.213e-04
Iteration 440, max diff = 3.208e-04
Iteration 450, max diff = 1.205e-04
Iteration 460, max diff = 3.219e-04
Iteration 470, max diff = 1.213e-04
Iteration 480, max diff = 3.208e-04
Iteration 490, max diff = 1.205e-04
Iteration 500, max diff = 3.219e-04
