
                            < M A T L A B (R) >
                  Copyright 1984-2023 The MathWorks, Inc.
             R2023a Update 3 (9.14.0.2286388) 64-bit (glnxa64)
                                May 25, 2023

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
Iteration 10, max diff = 3.051e-02
Iteration 20, max diff = 8.563e-03
Iteration 30, max diff = 8.541e-03
Iteration 40, max diff = 8.017e-03
Iteration 50, max diff = 7.179e-03
Iteration 60, max diff = 6.228e-03
Iteration 70, max diff = 5.047e-03
Iteration 80, max diff = 4.012e-03
Iteration 90, max diff = 3.020e-03
Iteration 100, max diff = 2.173e-03
Iteration 110, max diff = 1.594e-03
Iteration 120, max diff = 1.142e-03
Iteration 130, max diff = 8.086e-04
Iteration 140, max diff = 5.673e-04
Iteration 150, max diff = 3.955e-04
Iteration 160, max diff = 2.745e-04
Iteration 170, max diff = 1.901e-04
Iteration 180, max diff = 1.311e-04
Iteration 190, max diff = 9.040e-05
Iteration 200, max diff = 6.226e-05
Iteration 210, max diff = 4.289e-05
Iteration 220, max diff = 2.968e-05
Iteration 230, max diff = 2.048e-05
Iteration 240, max diff = 1.418e-05
Iteration 250, max diff = 9.784e-06
Iteration 260, max diff = 6.760e-06
Iteration 270, max diff = 4.655e-06
Iteration 280, max diff = 3.232e-06
Iteration 290, max diff = 2.218e-06
Iteration 300, max diff = 1.550e-06
Iteration 310, max diff = 1.081e-06
Iteration 320, max diff = 7.195e-07
Iteration 330, max diff = 5.150e-07
Iteration 340, max diff = 3.606e-07
Iteration 350, max diff = 2.421e-07
Iteration 360, max diff = 1.747e-07
Iteration 370, max diff = 8.181e-08
Iteration 380, max diff = 7.381e-08
Iteration 390, max diff = 5.503e-08
Iteration 400, max diff = 4.425e-08
Iteration 410, max diff = 1.282e-08
Iteration 420, max diff = 1.492e-08
Iteration 430, max diff = 1.223e-08
Converged at iteration 440
