
                            < M A T L A B (R) >
                  Copyright 1984-2023 The MathWorks, Inc.
             R2023a Update 3 (9.14.0.2286388) 64-bit (glnxa64)
                                May 25, 2023

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
Iteration 10, max diff = 2.909e-02
Iteration 20, max diff = 1.381e-02
Iteration 30, max diff = 1.350e-02
Iteration 40, max diff = 1.188e-02
Iteration 50, max diff = 9.627e-03
Iteration 60, max diff = 7.052e-03
Iteration 70, max diff = 4.932e-03
Iteration 80, max diff = 3.133e-03
Iteration 90, max diff = 2.016e-03
Iteration 100, max diff = 1.258e-03
Iteration 110, max diff = 7.728e-04
Iteration 120, max diff = 4.731e-04
Iteration 130, max diff = 2.877e-04
Iteration 140, max diff = 1.745e-04
Iteration 150, max diff = 1.060e-04
Iteration 160, max diff = 6.377e-05
Iteration 170, max diff = 3.849e-05
Iteration 180, max diff = 2.304e-05
Iteration 190, max diff = 1.405e-05
Iteration 200, max diff = 8.491e-06
Iteration 210, max diff = 5.167e-06
Iteration 220, max diff = 3.128e-06
Iteration 230, max diff = 1.901e-06
Iteration 240, max diff = 1.148e-06
Iteration 250, max diff = 7.075e-07
Iteration 260, max diff = 4.079e-07
Iteration 270, max diff = 2.699e-07
Iteration 280, max diff = 1.416e-07
Iteration 290, max diff = 9.562e-08
Iteration 300, max diff = 7.300e-08
Iteration 310, max diff = 2.041e-08
Iteration 320, max diff = 2.147e-08
Iteration 330, max diff = 1.450e-08
Converged at iteration 336
