
                            < M A T L A B (R) >
                  Copyright 1984-2023 The MathWorks, Inc.
             R2023a Update 3 (9.14.0.2286388) 64-bit (glnxa64)
                                May 25, 2023

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
Iteration 10, max diff = 3.298e-02
Iteration 20, max diff = 1.234e-02
Iteration 30, max diff = 1.239e-02
Iteration 40, max diff = 1.144e-02
Iteration 50, max diff = 9.696e-03
Iteration 60, max diff = 7.388e-03
Iteration 70, max diff = 5.179e-03
Iteration 80, max diff = 3.413e-03
Iteration 90, max diff = 2.169e-03
Iteration 100, max diff = 1.337e-03
Iteration 110, max diff = 6.869e-04
Iteration 120, max diff = 4.105e-04
Iteration 130, max diff = 2.410e-04
Iteration 140, max diff = 1.410e-04
Iteration 150, max diff = 8.232e-05
Iteration 160, max diff = 4.799e-05
Iteration 170, max diff = 2.795e-05
Iteration 180, max diff = 1.626e-05
Iteration 190, max diff = 9.457e-06
Iteration 200, max diff = 5.502e-06
Iteration 210, max diff = 3.181e-06
Iteration 220, max diff = 1.859e-06
Iteration 230, max diff = 1.067e-06
Iteration 240, max diff = 6.370e-07
Iteration 250, max diff = 3.651e-07
Iteration 260, max diff = 2.218e-07
Iteration 270, max diff = 1.195e-07
Iteration 280, max diff = 6.997e-08
Iteration 290, max diff = 4.522e-08
Iteration 300, max diff = 1.779e-08
Iteration 310, max diff = 1.413e-08
Iteration 320, max diff = 1.030e-08
Converged at iteration 322
